Title,Year,Ratings
"<h3 class=""ipc-title__text"">138. All About Eve</h3>","1950,2h 18m,Passed,8.2, (,138K,),Rate",8.2
"<h3 class=""ipc-title__text"">139. The Truman Show</h3>","1998,1h 43m,PG,8.2, (,1.2M,),Rate",8.2
"<h3 class=""ipc-title__text"">140. There Will Be Blood</h3>","2007,2h 38m,R,8.2, (,636K,),Rate",8.2
"<h3 class=""ipc-title__text"">141. Shutter Island</h3>","2010,2h 18m,R,8.2, (,1.4M,),Rate",8.2
"<h3 class=""ipc-title__text"">142. Casino</h3>","1995,2h 58m,R,8.2, (,559K,),Rate",8.2
"<h3 class=""ipc-title__text"">143. Ran</h3>","1985,2h 40m,R,8.2, (,135K,),Rate",8.2
"<h3 class=""ipc-title__text"">144. Jurassic Park</h3>","1993,2h 7m,PG-13,8.2, (,1.1M,),Rate",8.2
"<h3 class=""ipc-title__text"">145. The Sixth Sense</h3>","1999,1h 47m,PG-13,8.2, (,1M,),Rate",8.2
"<h3 class=""ipc-title__text"">146. Pan's Labyrinth</h3>","2006,1h 58m,R,8.2, (,699K,),Rate",8.2
"<h3 class=""ipc-title__text"">147. Unforgiven</h3>","1992,2h 10m,R,8.2, (,433K,),Rate",8.2
"<h3 class=""ipc-title__text"">148. A Beautiful Mind</h3>","2001,2h 15m,PG-13,8.2, (,980K,),Rate",8.2
"<h3 class=""ipc-title__text"">149. No Country for Old Men</h3>","2007,2h 2m,R,8.2, (,1M,),Rate",8.2
"<h3 class=""ipc-title__text"">150. The Thing</h3>","1982,1h 49m,R,8.2, (,462K,),Rate",8.2
"<h3 class=""ipc-title__text"">151. The Treasure of the Sierra Madre</h3>","1948,2h 6m,Passed,8.2, (,132K,),Rate",8.2
"<h3 class=""ipc-title__text"">152. Yojimbo</h3>","1961,1h 50m,Not Rated,8.2, (,130K,),Rate",8.2
"<h3 class=""ipc-title__text"">153. Kill Bill: Vol. 1</h3>","2003,1h 51m,R,8.2, (,1.2M,),Rate",8.2
"<h3 class=""ipc-title__text"">154. Monty Python and the Holy Grail</h3>","1975,1h 31m,PG,8.2, (,567K,),Rate",8.2
"<h3 class=""ipc-title__text"">155. The Great Escape</h3>","1963,2h 52m,Approved,8.2, (,257K,),Rate",8.2
"<h3 class=""ipc-title__text"">156. Finding Nemo</h3>","2003,1h 40m,G,8.2, (,1.1M,),Rate",8.2
"<h3 class=""ipc-title__text"">157. Rashomon</h3>","1950,1h 28m,Not Rated,8.2, (,179K,),Rate",8.2
"<h3 class=""ipc-title__text"">158. The Elephant Man</h3>","1980,2h 4m,PG,8.2, (,257K,),Rate",8.2
"<h3 class=""ipc-title__text"">159. Howl's Moving Castle</h3>","2004,1h 59m,PG,8.2, (,443K,),Rate",8.2
"<h3 class=""ipc-title__text"">160. Prisoners</h3>","2013,2h 33m,R,8.1, (,798K,),Rate",8.1
"<h3 class=""ipc-title__text"">161. Chinatown</h3>","1974,2h 10m,R,8.1, (,347K,),Rate",8.1
"<h3 class=""ipc-title__text"">162. Dial M for Murder</h3>","1954,1h 45m,PG,8.2, (,187K,),Rate",8.2
"<h3 class=""ipc-title__text"">163. Gone with the Wind</h3>","1939,3h 58m,Passed,8.2, (,332K,),Rate",8.2
"<h3 class=""ipc-title__text"">164. V for Vendetta</h3>","2005,2h 12m,R,8.2, (,1.2M,),Rate",8.2
"<h3 class=""ipc-title__text"">165. Lock, Stock and Two Smoking Barrels</h3>","1998,1h 47m,R,8.1, (,612K,),Rate",8.1
"<h3 class=""ipc-title__text"">166. The Secret in Their Eyes</h3>","2009,2h 9m,R,8.2, (,221K,),Rate",8.2
"<h3 class=""ipc-title__text"">167. Raging Bull</h3>","1980,2h 9m,R,8.1, (,377K,),Rate",8.1
"<h3 class=""ipc-title__text"">168. Inside Out</h3>","2015,1h 35m,PG,8.1, (,777K,),Rate",8.1
"<h3 class=""ipc-title__text"">169. Three Billboards Outside Ebbing, Missouri</h3>","2017,1h 55m,R,8.1, (,550K,),Rate",8.1
"<h3 class=""ipc-title__text"">170. Trainspotting</h3>","1996,1h 33m,R,8.1, (,721K,),Rate",8.1
"<h3 class=""ipc-title__text"">171. The Bridge on the River Kwai</h3>","1957,2h 41m,PG,8.1, (,232K,),Rate",8.1
"<h3 class=""ipc-title__text"">172. Spider-Man: No Way Home</h3>","2021,2h 28m,PG-13,8.2, (,866K,),Rate",8.2
"<h3 class=""ipc-title__text"">173. Fargo</h3>","1996,1h 38m,R,8.1, (,721K,),Rate",8.1
"<h3 class=""ipc-title__text"">174. Warrior</h3>","2011,2h 20m,PG-13,8.1, (,495K,),Rate",8.1
"<h3 class=""ipc-title__text"">175. Klaus</h3>","2019,1h 36m,PG,8.2, (,187K,),Rate",8.2
"<h3 class=""ipc-title__text"">176. Catch Me If You Can</h3>","2002,2h 21m,PG-13,8.1, (,1.1M,),Rate",8.1
"<h3 class=""ipc-title__text"">177. Godzilla Minus One</h3>","2023,2h 4m,PG-13,8.3, (,44K,),Rate",8.3
"<h3 class=""ipc-title__text"">178. Gran Torino</h3>","2008,1h 56m,R,8.1, (,811K,),Rate",8.1
"<h3 class=""ipc-title__text"">179. My Neighbor Totoro</h3>","1988,1h 26m,G,8.1, (,375K,),Rate",8.1
